Title,ISBN,Publisher,Publish Year
Don Quixote,9781447668510,"Lulu Press, Inc.",2023
Alice's Adventures in Wonderland,9789758686797,Norgunk Yayıncılık,2015
The Adventures of Huckleberry Finn,9783337176426,Creation Publishers,2017
The Adventures of Tom Sawyer,9788328839946,Wolne Lektury,2019
Treasure Island,9783737202268,Vero Verlag GmbH & Company KG,2014
Pride and Prejudice,9781009432580,Cambridge University Press,2024
Wuthering Heights,9788804671282,Mondadori,2017
Jane Eyre,843761449X,Cátedra,1999
Moby Dick,9789352766949,Om Books International,2019
The Scarlet Letter,9798711228158,Independently Published,2021
Gulliver's Travels,9788563560124,Penguin,"Dec 14, 2010"
The Pilgrim's Progress,9783501013601,St.-Johannis-Druckerei,"January 1, 1998"
A Christmas Carol,9781906332174,Classical Commics,2019
David Copperfield,9780396082569,Dodd Mead,November 1984
A Tale of Two Cities,9788817058285,BUR,2014
Little Women,9788494326776,"Get a Book Editions, S.L.","Mar 19, 2014"
Great Expectations,9781405880350,Pearson,"Feb 26, 2008"
The Hobbit,9786176642145,Астролябія,2020
Frankenstein,9788491058083,Penguin,2026
Oliver Twist,9781611092509,Amazon Publishing,"September 6, 2012"
Uncle Tom's Cabin,9780861161348,Imprint unknown,1979-07-31
Crime and Punishment,9780544180918,Houghton Mifflin Harcourt Publishing Company,2011
Madame Bovary,3458333363,Insel Verlag,1994
The Return of the King,9789934207433,Jumava,2026
Dracula,9781547151578,CreateSpace Independent Publishing Platform,2017
The Three Musketeers,9787561140963,Ta lian li gong ta xue chu ban she,2008
Brave New World,9780375712364,Neal-Schuman Publishing,2013
War and Peace,9789750512322,İletişim Yayıncılık,2003
To Kill a Mockingbird,9780099549482,Penguin,2020
The Wizard of Oz,9798719600505,Independently Published,2021
Les Misérables,9787532227228,Shang hai ren min mei shu chu ban she,2010
The Secret Garden,9789390213009,Wilco,2020
Animal Farm,9780547370224,Mariner Books Classics,"July 1, 2009"
The Great Gatsby,9783730600009,Anaconda,2020
The Little Prince,9781467707374,Graphic Universe,2013
The Call of the Wild,9789349182516,Lexicon Books,1903
