filename,stt_text
3e9426b5-fc9c-41f8-a95f-dc4916f83759_102.wav, K آuğoe
3e9426b5-fc9c-41f8-a95f-dc4916f83759_245.wav," 2,077"
3e9426b5-fc9c-41f8-a95f-dc4916f83759_337.wav, The red gets me.
3e9426b5-fc9c-41f8-a95f-dc4916f83759_423.wav, useful
3e9426b5-fc9c-41f8-a95f-dc4916f83759_611.wav, on the WK-Portrait.
3e9426b5-fc9c-41f8-a95f-dc4916f83759_676.wav, 84.
3e9426b5-fc9c-41f8-a95f-dc4916f83759_89.wav, on books at the National
56f59030-afe7-4eec-a333-efb60075cff4_127.wav, At Christmas Curling.
56f59030-afe7-4eec-a333-efb60075cff4_162.wav, carry chunk
56f59030-afe7-4eec-a333-efb60075cff4_183.wav," My, what's your, my whip?"
56f59030-afe7-4eec-a333-efb60075cff4_191.wav," Age of movies, silent marketing!"
56f59030-afe7-4eec-a333-efb60075cff4_20.wav, 20-15
56f59030-afe7-4eec-a333-efb60075cff4_36.wav, 69
56f59030-afe7-4eec-a333-efb60075cff4_69.wav, Manda to Obey
a9f22408-b802-4e4e-a3a4-d7fe2c9a0051_313.wav, Forces
a9f22408-b802-4e4e-a3a4-d7fe2c9a0051_337.wav, 38
a9f22408-b802-4e4e-a3a4-d7fe2c9a0051_364.wav, Outroll youville
a9f22408-b802-4e4e-a3a4-d7fe2c9a0051_400.wav," 4,2,8,2,1."
a9f22408-b802-4e4e-a3a4-d7fe2c9a0051_431.wav, 2015.
a9f22408-b802-4e4e-a3a4-d7fe2c9a0051_468.wav,esses
a9f22408-b802-4e4e-a3a4-d7fe2c9a0051_472.wav, James Edward Barron
