text,noisy_text,filename
Don Quixote, Von Gilda,survey_audio_noisy\survey_noisy_0.wav
"Lulu Press, Inc.", Lulu pressing.,survey_audio_noisy\survey_noisy_1.wav
2023, 2000. I'd be free.,survey_audio_noisy\survey_noisy_2.wav
Alice's Adventures in Wonderland, Alice's adventures in Wunderland.,survey_audio_noisy\survey_noisy_3.wav
Norgunk Yayıncılık, nor gong in sudeck,survey_audio_noisy\survey_noisy_4.wav
2015, 2050,survey_audio_noisy\survey_noisy_5.wav
The Adventures of Huckleberry Finn, The Edibles Church Lobuestion...,survey_audio_noisy\survey_noisy_6.wav
2017, Peace out and Tony.,survey_audio_noisy\survey_noisy_8.wav
The Adventures of Tom Sawyer, The Adventures of Times Square,survey_audio_noisy\survey_noisy_9.wav
Wolne Lektury, One electric.,survey_audio_noisy\survey_noisy_10.wav
2019, 2090.,survey_audio_noisy\survey_noisy_11.wav
Treasure Island, Treasurer Fight !,survey_audio_noisy\survey_noisy_12.wav
2014, seewel eternivou te,survey_audio_noisy\survey_noisy_14.wav
Cambridge University Press, came at University Press.,survey_audio_noisy\survey_noisy_16.wav
2024," who've else, and then 24?",survey_audio_noisy\survey_noisy_17.wav
Wuthering Heights, wandering height.,survey_audio_noisy\survey_noisy_18.wav
Mondadori, Montadori,survey_audio_noisy\survey_noisy_19.wav
2017, 2013,survey_audio_noisy\survey_noisy_20.wav
Jane Eyre, J-Mail.,survey_audio_noisy\survey_noisy_21.wav
Cátedra, Charity,survey_audio_noisy\survey_noisy_22.wav
1999, Nineteen hundred. Nineteen nine.,survey_audio_noisy\survey_noisy_23.wav
Moby Dick, moping,survey_audio_noisy\survey_noisy_24.wav
Om Books International, on Box International.,survey_audio_noisy\survey_noisy_25.wav
2021," 5,000.1",survey_audio_noisy\survey_noisy_29.wav
