text,clean_text,filename
Don Quixote, Don Quijote,survey_audio_clean\survey_clean_0.wav
"Lulu Press, Inc.", LULU PRESS ING,survey_audio_clean\survey_clean_1.wav
Alice's Adventures in Wonderland, Alice's Adventures in Mondland,survey_audio_clean\survey_clean_2.wav
2015, Two nails and fishing.,survey_audio_clean\survey_clean_4.wav
The Adventures of Huckleberry Finn, These are adventures of Huckle Daraifan.,survey_audio_clean\survey_clean_5.wav
The Adventures of Tom Sawyer, The Adventures of Sonsor,survey_audio_clean\survey_clean_7.wav
Wolne Lektury, Oney Luxury.,survey_audio_clean\survey_clean_8.wav
Vero Verlag GmbH & Company KG, Pure order like GMB Asian Company KG,survey_audio_clean\survey_clean_9.wav
Pride and Prejudice," Try again, Prejudice.",survey_audio_clean\survey_clean_10.wav
Wuthering Heights, Watering Heights,survey_audio_clean\survey_clean_11.wav
Mondadori, Mandadori.,survey_audio_clean\survey_clean_12.wav
Jane Eyre, Chain Eie,survey_audio_clean\survey_clean_14.wav
Cátedra, Catedral.,survey_audio_clean\survey_clean_15.wav
1999, närnce mararett,survey_audio_clean\survey_clean_16.wav
Om Books International, Unbooks International.,survey_audio_clean\survey_clean_18.wav
The Scarlet Letter, This guy looks like so.,survey_audio_clean\survey_clean_19.wav
2021, 2009.1,survey_audio_clean\survey_clean_21.wav
